,OBJECTID,REFVAL,ADDRESS,PROPOSAL,STATUS,DECISION,DEC_DATE,SHAPE.AREA,SHAPE.LEN,OBJECTID_1,StartYear,Postcode
56,134578,84/03528/H,59 Jersey AvenueBristolBS4 4QX,Extension to provide 2 bedrooms and W.C. in new roof over existing ground floor.,GRANTED,GRANTED,,0,0,134578,84,BS4 4QX
62,134759,84/03499/H,34 Queensdale CrescentBristolBS4 2TW,Double storey rear dining room and bathroom extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134759,84,BS4 2TW
68,134777,84/03579/H,8 West Town LaneBristolBS4 5BN,Single Storey side kitchen extension.,GRANTED,GRANTED,,0,0,134777,84,BS4 5BN
86,134978,84/03446/H,22 Edna AvenueBristolBS4 4LA,Single storey extension to living room to be used as a dining room.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,134978,84,BS4 4LA
123,136951,84/03493/H,,Demolish existing garage and erect a similar garage in its place.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,136951,84,
132,137163,84/03497/F,167 Talbot RoadBristolBS4 2NZ,Residential rest home for the elderly.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,137163,84,BS4 2NZ
166,137899,84/04441/F,817 Bath RoadBrislingtonBristolBS4 5NL,Alterations to ground floor and extension to form new first floor to provide additional bank accommodation.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,137899,84,BS4 5NL
168,137901,84/03968/H,7 St Brelades GroveBristolBS4 4QJ,Reconstruction of external walls of Airey House.,GRANTED,GRANTED,,0,0,137901,84,BS4 4QJ
180,138105,84/04299/F,H T V WestBath RoadBrislingtonBristolBS4 3HG,Erection of 6 No. Temporary Office Units in 3 No. double stacked groups.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,138105,84,BS4 3HG
196,138322,84/04549/H,26 Callington RoadBristolBS4 5BW,Double garage to replace existing single garage.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,138322,84,BS4 5BW
197,138473,84/04564/A,53 GreenleazeBristolBS4 2TL,Internally illuminated fascia sign.,GRANTED,GRANTED,,0,0,138473,84,BS4 2TL
217,138678,84/04660/F,398 Wells RoadBristolBS4 2QP,Detached house.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,138678,84,BS4 2QP
