OBJECTID,REFVAL,ADDRESS,PROPOSAL,STATUS,DECISION,DEC_DATE,SHAPE.AREA,SHAPE.LEN,OBJECTID_1
1858,11/01621/LA,"Purifier HouseGas Ferry RoadBristolBS1 6UN","Internal and external alterations to Purifer House to facilitate reuse to provide 26 residential units (Class C3), retail use (Class A) and restaurant/cafe (Class A3). Alterations to Gas Ferry Road wall to provide pedestrian access and associated works.",GRANTED subject to condition(s),GRANTED subject to condition(s),70538240,0,0,1858
3102,85/01329/L,"The ExchangeCorn StreetCity CentreBristolBS1 1HQ",Renew 4 No windows front elevation alter approach stair remove remainder of internal stair replace columns with*,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,3102
6353,84/02725/F,"Unit 5-6Market SideAlbert RoadBristolBS2 0XS",Erection of petroleum store.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,6353
6355,84/02735/X,"125 Whiteladies RoadBristolBS8 2PL",Withdrawal of restriction No. 1 to application no. 3192P/77.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,6355
6356,84/02736/M,"1 King Road AvenueBristolBS11 9HG",Proposed development of existing industrial site to provide 8 no. industrial units together with parking and landscaping.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,6356
6357,84/02737/F,"Whitefield RoadSt GeorgeBristol","Removal of existing entrance porch, lean to on side of building and temporary hut.  Construction of new entrance porch and extension with car park for 15 cars",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,6357
6358,84/02738/F,"59 Highridge RoadBishopsworthBristolBS13 8HJ",Dwelling house with doubel garage.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,6358
12609,93/02016/L,"W & E Sheds, Canons Road, . Bristol.","Refurbishment of E & W sheds to facilitate the use as mixed retail, food/drink and leisure.",GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,12609
13616,96/02803/H,"61 Logan RoadBishopstonBristolBS7 8DS",Construction of conservatory.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,13616
15131,13/03121/H,"43 Long Acre RoadBristolBS14 0HJ","Two-storey side extension, loft conversion & construction of new detached garage.",GRANTED subject to condition(s),GRANTED subject to condition(s),-604502016,0,0,15131
18514,95/00559/H,"21 Paulton DriveRedlandBristolBS7 8JJ",Erection of two storey side extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,18514
19554,93/01499/L,"15 The MallCliftonBristolBS8 4DS",Erection of sign board (3ftx 2ft6in) to exterior wall of building.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,19554
21846,94/02147/F,"40 Manor ParkRedlandBristolBS6 7HN",Alterations to convert six bedsits and one flat to three flats.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,21846
22692,96/00693/F,"The CoachyardDowry SquareHotwellsBristolBS8 4SJ",Extension to existing single storey building in rear of yard.,GRANTED subject to condition(s),GRANTED subject to condition(s),,0,0,22692
