Wards,Name,Number of Referrals(2005),Number of Referrals(2006),Number of Referrals(2007),Number of Referrals(2008),Number of Referrals(2009),Number of Referrals(2012),Number of Referrals(2013),Number of children with Child Protection Plans(2005),Number of children with Child Protection Plans(2006),Number of children with Child Protection Plans(2007),Number of children with Child Protection Plans(2008),Number of children with Child Protection Plans(2009),Number of children with Child Protection Plans(2012),Number of children with Child Protection Plans(2013),Number of children with Child Protection Plans(2014),Number of children Looked After(2005),Number of children Looked After(2006),Number of children Looked After(2007),Number of children Looked After(2008),Number of children Looked After(2009),Number of children Looked After(2012),Number of children Looked After(2013),Number of children Looked After(2014),Number of Children in Need(2008),Number of Children in Need(2009),Number of Children in Need(2012),Number of Children in Need(2013),Number of Children in Need(2014)
_00HBNM,Ashley,316,232,272,288,268,442,380,9,9,<5,9,11,10,7,11,25,14,10,13,9,16,22,13,112,110,106,79,99
_00HBNN,Avonmouth,356,258,215,237,218,772,728,27,29,12,17,13,30,13,15,27,17,24,23,21,27,35,41,87,89,95,92,106
_00HBNP,Bedminster,125,84,101,110,112,324,280,8,<5,5,<5,<5,9,<5,<5,13,6,7,5,8,5,12,13,58,63,41,53,35
_00HBNQ,Bishopston,59,53,32,30,41,112,80,<5,<5,0,0,<5,0,<5,<5,<5,<5,<5,<5,<5,<5,0,0,25,23,25,25,30
_00HBNR,Bishopsworth,333,295,285,195,250,600,531,26,5,<5,11,5,14,15,14,31,19,22,20,20,23,27,27,77,89,87,98,96
_00HBNS,Brislington East,190,152,171,157,151,460,399,13,10,6,9,6,<5,5,5,26,11,8,7,13,15,10,11,56,62,45,68,62
_00HBNT,Brislington West,115,91,89,95,94,311,278,6,6,<5,7,0,<5,<5,<5,8,<5,<5,<5,12,5,<5,8,29,34,40,35,37
_00HBNU,Cabot,64,59,60,58,54,191,135,<5,<5,<5,<5,<5,<5,0,7,5,10,30,14,8,10,19,17,45,42,70,48,42
_00HBNW,Clifton,44,29,22,32,26,72,86,<5,<5,<5,<5,5,0,<5,0,6,<5,<5,<5,<5,5,<5,5,21,18,13,8,14
_00HBNX,Clifton East,21,12,15,12,17,62,35,0,0,<5,<5,0,0,0,0,0,0,0,0,0,<5,<5,5,5,8,5,<5,6
_00HBNY,Cotham,34,9,12,9,25,36,37,0,0,0,0,<5,0,0,0,<5,<5,<5,<5,5,<5,<5,<5,13,14,8,9,9
_00HBNZ,Easton,260,206,216,297,261,601,503,7,7,21,24,19,12,20,19,14,9,9,12,12,17,11,17,82,98,90,98,104
_00HBPA,Eastville,150,118,125,179,199,409,329,13,10,<5,<5,6,17,12,17,15,<5,15,14,15,22,21,16,63,66,67,83,57
_00HBPB,Filwood,603,450,481,505,496,1440,1213,49,15,11,16,7,51,19,27,73,56,60,58,61,56,65,52,167,183,121,148,171
_00HBPC,Frome Vale,145,125,116,137,196,460,357,<5,<5,<5,7,5,7,16,33,13,14,10,12,9,13,11,17,56,72,64,82,52
_00HBPD,Hartcliffe,426,407,276,345,329,963,913,30,31,22,15,12,16,30,34,32,26,28,33,33,27,34,40,128,143,123,141,148
_00HBPE,Henbury,335,270,217,197,203,725,578,27,15,10,19,11,31,14,17,39,35,30,31,29,25,35,41,100,106,88,117,129
_00HBPF,Hengrove,220,189,150,175,183,499,406,13,15,<5,<5,9,12,17,7,18,14,11,17,11,15,20,16,54,87,63,81,74
_00HBPG,Henleaze,36,30,18,15,26,66,88,<5,0,0,0,0,<5,0,<5,5,<5,<5,<5,0,<5,<5,<5,21,27,21,22,26
_00HBPH,Hillfields,269,219,178,243,310,682,491,9,<5,6,9,10,27,18,20,24,11,14,16,14,10,12,13,85,114,98,97,112
_00HBPJ,Horfield,210,123,133,139,192,497,393,7,0,<5,11,6,9,6,<5,14,11,9,8,10,15,10,10,46,81,76,67,75
_00HBPK,Kingsweston,379,236,241,289,317,739,592,45,20,22,32,31,7,11,18,38,34,42,45,30,37,35,34,113,125,98,92,111
_00HBPL,Knowle,195,136,144,154,196,377,331,18,8,<5,5,6,<5,6,7,20,9,11,8,12,20,23,16,61,62,44,52,57
_00HBPM,Lawrence Hill,565,404,447,462,463,1097,940,41,20,39,23,34,37,32,44,60,37,50,49,46,44,47,46,180,137,172,176,207
_00HBPN,Lockleaze,282,206,236,205,263,646,580,20,11,6,13,10,20,25,15,34,18,33,26,28,23,21,24,126,94,80,97,120
_00HBPP,Redland,30,12,14,18,18,65,54,0,0,0,0,0,0,0,<5,6,<5,6,5,6,10,7,7,21,20,22,20,19
_00HBPQ,St George East,133,81,110,102,135,315,269,6,<5,8,7,15,10,13,6,18,11,16,15,15,5,5,5,56,54,48,54,44
_00HBPR,St George West,157,103,124,153,152,412,371,6,<5,7,7,5,16,15,28,25,13,13,10,18,10,13,14,56,58,95,56,60
_00HBPS,Southmead,469,340,261,291,273,915,870,41,15,25,25,19,29,29,17,48,35,39,46,56,54,54,47,130,145,147,123,130
_00HBPT,Southville,132,90,86,56,63,206,192,9,5,0,<5,<5,<5,<5,<5,12,7,15,14,17,15,18,11,41,28,24,31,28
_00HBPU,Stockwood,154,125,134,154,139,439,270,13,<5,<5,6,<5,0,<5,6,17,11,5,7,6,9,17,18,40,57,43,46,48
_00HBPW,Stoke Bishop,28,21,14,21,22,89,82,0,0,0,0,0,0,<5,0,<5,0,<5,<5,<5,0,0,<5,16,15,8,7,6
_00HBPX,Westbury-on-Trym,49,36,36,33,35,86,75,<5,<5,0,<5,<5,<5,0,<5,<5,<5,<5,5,<5,<5,6,8,18,23,12,17,19
_00HBPY,Whitchurch Park,377,365,332,323,323,865,849,27,9,17,23,20,37,22,25,35,33,26,34,29,29,35,32,129,143,96,125,129
_00HBPZ,Windmill Hill,253,156,145,217,153,372,350,42,<5,9,17,12,13,16,18,33,17,36,33,32,26,30,33,73,92,57,50,56
_00HB,Bristol,7514,5722,5508,5933,6203,NaN,NaN,522,266,258,333,296,NaN,NaN,NaN,746,500,593,591,594,NaN,NaN,NaN,2390,2582,NaN,NaN,NaN
